GENEID	TOPOID	FOUND	STUDIED
ENSG00000133103	75	1	101
ENSG00000237103	31	1	1
ENSG00000154734	5	1	23
ENSG00000154734	9	1	4
ENSG00000154734	14	1	7
ENSG00000154734	65	3	12
ENSG00000150907	5	1	447
ENSG00000101489	31	2	2
ENSG00000125895	31	1	1
ENSG00000096155	31	1	1
ENSG00000096155	78	1	48
ENSG00000012817	123	1	6
ENSG00000225748	31	2	2
ENSG00000225748	78	2	48
ENSG00000229253	31	1	1
ENSG00000152767	78	2	57
ENSG00000125845	31	1	1
ENSG00000101298	31	2	2
ENSG00000101323	31	3	3
ENSG00000120690	31	1	1
ENSG00000223699	31	3	3
ENSG00000223699	123	1	1
ENSG00000125775	9	1	14
ENSG00000182621	31	4	4
ENSG00000182621	65	1	11
ENSG00000182621	78	3	57
ENSG00000139797	5	1	22
ENSG00000139797	31	1	1
ENSG00000120688	75	1	101
ENSG00000120688	78	2	57
ENSG00000165572	31	1	1
ENSG00000102572	31	1	27
ENSG00000102572	65	1	225
ENSG00000120696	31	1	1
ENSG00000088756	135	1	23
ENSG00000088386	31	1	1
ENSG00000236693	31	1	1
ENSG00000172766	5	1	22
ENSG00000230742	31	3	3
ENSG00000230742	75	1	1
ENSG00000154736	31	1	1
ENSG00000154736	32	1	3
ENSG00000154736	135	1	24
ENSG00000102763	31	3	3
ENSG00000102763	32	1	3
ENSG00000102763	75	1	101
ENSG00000236979	31	1	1
ENSG00000100038	75	1	412
ENSG00000101333	31	3	3
ENSG00000101333	123	1	6
ENSG00000101333	135	1	24
ENSG00000215522	5	3	455
ENSG00000215522	9	1	32
ENSG00000215522	31	1	27
ENSG00000215522	65	4	225
ENSG00000088387	5	1	22
ENSG00000234836	31	1	1
ENSG00000102780	31	2	2
ENSG00000232099	31	3	3
ENSG00000223833	31	1	1
ENSG00000023516	5	1	23
ENSG00000023516	31	1	1
ENSG00000185917	9	1	14
ENSG00000185917	31	1	1
ENSG00000231370	31	2	2
ENSG00000231370	78	2	48
ENSG00000068793	2	1	1
ENSG00000068793	31	4	4
ENSG00000068793	135	3	25
ENSG00000236342	31	2	2
ENSG00000226618	31	2	2
ENSG00000226618	78	2	48
ENSG00000133106	31	1	1
ENSG00000235588	31	1	1
ENSG00000242289	31	3	3
ENSG00000242289	75	1	1
ENSG00000229181	31	2	2
ENSG00000229181	78	1	48
ENSG00000120658	135	1	23
ENSG00000142197	5	1	22
ENSG00000142197	31	1	1
ENSG00000231825	31	2	2
ENSG00000231825	78	2	48
ENSG00000159256	31	2	2
ENSG00000227046	31	2	2
ENSG00000227046	123	2	7
ENSG00000227046	135	18	92
ENSG00000226467	5	1	22
ENSG00000125900	31	1	1
ENSG00000125900	75	1	101
ENSG00000125900	123	1	6
ENSG00000159259	31	1	1
ENSG00000125869	65	1	1
ENSG00000125869	78	1	48
ENSG00000235291	31	2	2
ENSG00000235291	65	1	11
ENSG00000235291	75	1	101
ENSG00000101307	31	1	1
ENSG00000198796	5	1	455
ENSG00000198796	31	7	31
ENSG00000198796	65	1	37
ENSG00000198796	123	2	6
ENSG00000229861	31	1	1
ENSG00000172175	5	1	23
ENSG00000172175	31	2	2
ENSG00000159263	5	1	22
ENSG00000236014	31	4	4
ENSG00000231257	31	2	2
ENSG00000159267	2	1	1
ENSG00000159267	31	2	2
ENSG00000159267	75	1	1
ENSG00000159267	78	1	48
ENSG00000198862	5	1	22
ENSG00000198862	31	3	3
ENSG00000198862	75	1	1
ENSG00000101349	5	2	456
ENSG00000101349	9	1	32
ENSG00000101349	31	2	28
ENSG00000101349	65	7	275
ENSG00000101349	123	3	8
ENSG00000183145	78	1	48
ENSG00000234651	31	1	1
ENSG00000234651	78	1	48
ENSG00000089012	31	1	1
ENSG00000132623	31	1	1
ENSG00000132623	78	1	48
ENSG00000233348	31	1	1
ENSG00000233348	78	1	48
ENSG00000078142	31	1	1
ENSG00000078142	65	8	211
ENSG00000133114	135	1	23
ENSG00000074657	78	1	48
ENSG00000183773	31	2	2
ENSG00000183773	65	2	188
ENSG00000182670	31	2	2
ENSG00000182670	78	1	48
ENSG00000152214	31	1	1
ENSG00000134882	31	1	1
ENSG00000198053	31	1	1
ENSG00000184571	5	1	22
ENSG00000184571	31	3	3
ENSG00000228760	31	1	1
